"Exocrine"	"Endocrine"	"Classic"	"StromaActiv"	"Basal"	"StromaActivInflam"	"Immune"	"StromaInactive"	"ICA9"	"Tech"
"HBA1 /// HBA2"	0.482053072001353	-1.9558242713666	1.45711133765303	-1.22858226576475	1.18447539038523	7.2235414648181	0.50865497289565	-0.0826546096727296	-0.914512172021066	1.40007996756862
"SYNPO2"	-0.690302321747788	-7.1888023065479	1.49407764443018	-1.18195389731728	-1.043354593026	-0.0968826589202421	-0.355487741885927	4.72233380250096	-0.348807919651568	-0.726404913689208
"TFF3"	-0.678259557500059	-0.137882757997028	7.151312743334	-1.86189940066417	2.80813535923075	2.94194673590358	-1.79701967738146	1.01299711615939	-0.201708987881962	1.54495687783737
"TM4SF4"	3.73179723148668	-2.90307116563972	7.14256293347329	-0.102292483854936	5.56462730682625	-1.14374922019202	1.20811862087475	1.72744489161233	-0.022296282144998	1.22295505664314
"PHGR1"	-1.43081261835405	0.621092336987358	7.13645542225479	-5.12223362575908	1.55284224341063	3.57117425540382	-1.2816795204286	1.29613283188429	0.520903233440236	0.656645129735283
"AHNAK2"	-0.34885175907651	-1.09659559570205	0.202513505464736	0.74422058416121	7.12615928875775	-0.381264844485034	-0.584741113827259	0.845671094619548	2.23152615116449	-1.27241261309313
"IGLL5 /// IGLV1-36 /// IGLV1-44 /// IGLV1-47"	-1.16289283879512	5.67289622878758	0.294463460970607	0.483424399692735	-4.03268716511286	-0.592563527508603	7.1241836158167	0.260637696303063	1.70322842190567	-0.345634905020801
"TCN1"	1.54487028257487	-1.08167591731244	7.11556201539906	-0.543973867156516	5.4943449308327	-0.718831873330209	0.895817986394698	2.69238975531552	-0.700447764483004	0.353236899668015
"MUC4"	0.827486450735778	-0.626100103565619	2.58190312356213	-0.807798084380084	7.11344190849988	0.478674344943647	1.38718596570406	0.423734594777938	0.19327754547434	0.104131124611727
"SCG5"	1.95476879203416	7.09765596862462	-1.03859442514998	1.53363095190537	0.0207309231381957	1.26915735134308	-1.31006159246636	2.84338609129326	1.08869515259789	-0.496465293210743
"TMC5"	0.768642410608503	-2.11122041147284	7.06258703183613	1.17626653002959	1.23089060038862	-0.574769321656377	0.780508169370632	-0.803587598507738	0.564407384144339	-0.144786821187846
"RSPO3"	-0.173205924801876	-7.05776895972366	-1.19578832398193	-1.25824865377888	-1.83495071314819	2.2284518065803	-0.180597205581737	0.99499380927392	-1.19584134559486	-0.00633037115349399
"UCA1"	2.89074140884576	-2.00459670133065	0.322447817002884	1.63546575637844	7.05333591644902	-0.203979087835642	0.891758312598573	-2.1337032288091	-1.79460852268965	0.242373086222278
"ITGA11"	-0.718557518128347	-0.457589010192952	0.86409246752079	7.04673467472549	-0.7591267076157	-2.05346965663502	0.588494686708238	0.19761817423596	0.512349921936642	1.0506322014917
"FNDC1"	-1.23399155852726	-2.63956960513462	0.369795328262831	7.00938699902887	-2.54068521258919	1.27010887939948	0.639930989283767	1.54081367625351	-0.446218858515833	-0.678736696201802
"PSCA"	0.458763243947888	0.358066972585492	2.77182548400293	-0.878735792889773	6.99789358930954	-1.56341680658539	-2.25120079565899	2.19760146612815	-0.0918380472316639	0.90042808355423
"KRT16"	0.557176241539898	1.38289458401846	-0.176107611771346	1.24390419906379	6.98910860819846	1.9309416645476	-1.66742477374025	-1.13893037712251	0.9025537150325	0.2942456319492
"G0S2"	-0.0355233246803537	1.44167095894911	-0.781658688898768	0.0674699854740645	2.76717730348717	6.97666513889123	0.806014358183214	-2.14988727959028	-0.396592556820508	0.152339496678447
"CDA"	0.379756272788427	-0.410299027843288	-0.60845557543258	-1.07222979948908	6.95953116662431	1.08789904283007	0.616025298141707	-0.416620099862589	-0.593787253019164	1.20771373363529
"PAX6"	0.524281010469047	6.94838560657353	-1.61410382378836	-1.90971704855334	-0.154628375163538	-0.37391779024614	-2.1729173500406	1.42716431973466	0.604673365574883	-0.792089053423766
"SERPINI2"	6.94696432086976	0.28612765547362	-0.667065045117798	1.10579869193943	-1.74026767935099	0.580557736634286	-1.14415968049171	-0.886374012726834	-0.905961004578338	0.392003309840118
