p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
8.21808728577621e-80	0.429866985664762	0.815	0.693	1.43635729580797e-75	0	Rheb
3.22385024659767e-79	0.368945546682017	0.765	0.628	5.63464546100341e-75	0	Tpm1
1.20225650992027e-78	0.754822102417404	0.375	0.229	2.10130392803865e-74	0	Nceh1
1.25995475261983e-78	0.816360235324289	0.349	0.208	2.20214891662893e-74	0	Itga3
1.87672618380234e-78	0.899785165905579	0.302	0.17	3.28014202404974e-74	0	Mgat2
2.2999087948052e-78	0.837916460254392	0.442	0.299	4.01978059156052e-74	0	Spry1
1.41733737981495e-76	0.408458757418366	0.723	0.576	2.47722227244057e-72	0	Glipr1
1.91304599732146e-76	0.502466068664618	0.7	0.555	3.34362179411845e-72	0	Bex4
8.13305272903138e-76	0.516913557549367	0.616	0.459	1.42149495598011e-71	0	Zcchc11
8.92701683571835e-76	1.09383974034726	0.209	0.101	1.56026400254685e-71	0	Trim16
1.09634927020327e-75	0.655750591146051	0.473	0.322	1.91619925446128e-71	0	Khdrbs1
3.33077485289936e-75	0.424218792263198	0.745	0.592	5.8215282878975e-71	0	Uqcrfs1
5.68055776807549e-75	0.509175943193693	0.66	0.504	9.92847886704235e-71	0	Spint1
6.00122938073279e-74	1.24441379796079	0.163	0.071	1.04889487116448e-69	0	Col4a4
1.4136923650874e-73	0.594368347543476	0.523	0.372	2.47085151569976e-69	0	Srsf6
2.79875139014093e-73	0.527948725783627	0.644	0.495	4.89165767968831e-69	0	Tgm2
4.30078408635037e-73	0.923810704339847	0.238	0.122	7.51691042612317e-69	0	Dpysl3
4.46152091288492e-73	0.932120954670165	0.271	0.15	7.79784625154026e-69	0	Pim1
5.78228693391023e-73	0.580654782647002	0.56	0.412	1.01062811030883e-68	0	Oxct1
5.87212341093697e-73	0.485207107157447	0.707	0.567	1.02632972976356e-68	0	Marcksl1
7.08888811286735e-73	1.16784987445625	0.22	0.113	1.23899586436695e-68	0	Dbp
1.70256428944434e-72	0.779555128002209	0.34	0.205	2.97574186509082e-68	0	Lrrfip2
4.25054674233393e-72	0.764967590186974	0.286	0.159	7.42910559625124e-68	0	Cytip
5.27191337358286e-72	0.320345498275613	0.941	0.885	9.21425019434813e-68	0	Ifi27
1.27355748510025e-71	0.347461078546045	0.904	0.85	2.22592377245822e-67	0	Prr15l
6.96792106385319e-71	0.692892356630268	0.413	0.27	1.21785324354026e-66	0	Cdh6
