Gene ID	5 STIM clusters
TBC1D3C	Desert-like
LOC401320	Desert-like
ACAP3	Desert-like
NKTR	Desert-like
CFAP44	Desert-like
LENG8	Desert-like
TBC1D3H	Desert-like
LOC101060321	Desert-like
OGT	Desert-like
MIR6859-3	Desert-like
MIR6859-2	Desert-like
MIR6859-4	Desert-like
MIR6859-1	Desert-like
ATHL1	Desert-like
NPIPB15	Desert-like
ACIN1	Desert-like
MICALL2	Desert-like
TBC1D3B	Desert-like
WASH2P	Desert-like
SCNN1D	Desert-like
KIAA0895L	Desert-like
ZNF692	Desert-like
PKD1P6	Desert-like
